Wavelength,Intensity
700,0.014380892
702,0.014380892
704,0.014380892
706,0.014070644
708,0.014764139
710,0.016187628
712,0.01595038
714,0.016862873
716,0.017866615
718,0.018085614
720,0.018815608
722,0.019728101
724,0.021096841
726,0.023232075
728,0.02523956
730,0.026918547
732,0.030294772
734,0.032174508
736,0.034145493
738,0.036846473
740,0.040642444
742,0.043106175
744,0.046610149
746,0.050114123
748,0.05312535
750,0.056720573
752,0.061611536
754,0.065590006
756,0.070754717
758,0.077415917
760,0.083219374
762,0.086869346
764,0.092800551
766,0.098823006
768,0.10365922
770,0.10889693
772,0.116324624
774,0.121343337
776,0.124938559
778,0.129902522
780,0.134373738
782,0.139301201
784,0.145506155
786,0.151893607
788,0.157277316
790,0.163756017
792,0.170380717
794,0.178958153
796,0.189178076
798,0.202591725
800,0.217282864
802,0.235623976
804,0.256246321
806,0.281887378
808,0.31086816
810,0.344320158
812,0.381367379
814,0.423615811
816,0.467470231
818,0.513313886
820,0.560398531
822,0.606296936
824,0.648490618
826,0.687180327
828,0.717657597
830,0.738736189
832,0.748171368
834,0.744886392
836,0.728954262
838,0.702126964
840,0.666265984
842,0.625203793
844,0.580856627
846,0.535596968
848,0.493494535
850,0.453801084
852,0.416626114
854,0.382316372
856,0.350561611
858,0.320814335
860,0.293932287
862,0.268783977
864,0.246665143
866,0.227557537
868,0.209672672
870,0.193339045
872,0.18071014
874,0.168975478
876,0.159157052
878,0.152313353
880,0.147750888
882,0.143005923
884,0.140414443
886,0.138552957
888,0.137585714
890,0.137859462
892,0.139593199
894,0.142458428
896,0.146382148
898,0.150543117
900,0.156529072
902,0.163500519
904,0.171712957
906,0.18060064
908,0.18994457
910,0.199981995
912,0.20983692
914,0.220202842
916,0.230331516
918,0.242193927
920,0.252961346
922,0.264732507
924,0.276047422
926,0.287873333
928,0.297819508
930,0.306068446
932,0.312577104
934,0.318179812
936,0.324567263
938,0.330863466
940,0.336210676
942,0.340706685
944,0.344593906
946,0.344630406
948,0.347128303
950,0.353659815
952,0.355301309
954,0.358667364
956,0.363352021
958,0.359221009
960,0.349542638
962,0.343847743
964,0.334641487
966,0.326969608
968,0.320330481
970,0.31501918
972,0.305812924
974,0.298052523
976,0.284125111
978,0.274004131
980,0.260961936
982,0.251136028
984,0.240454411
986,0.234907052
988,0.226143405
990,0.223841841
992,0.218914134
994,0.212186486
996,0.204219534
998,0.198760696
1000,0.187400413
1002,0.18391856
1004,0.18008262
1006,0.179728533
1008,0.174181174
1010,0.170197698
1012,0.1632635
1014,0.162230747
1016,0.154765418
1018,0.155355562
1020,0.156240779
1022,0.157804662
1024,0.157450575
1026,0.157745648
1028,0.157244025
1030,0.16048982
1032,0.15612275
1034,0.157066981
1036,0.158247271
1038,0.152935969
1040,0.149483623
1042,0.145500148
1044,0.136293892
1046,0.132989082
1048,0.134523458
1050,0.131484214
1052,0.137326645
1054,0.142992033
1056,0.144821481
1058,0.143051048
1060,0.141221599
1062,0.142903511
1064,0.14195928
1066,0.141221599
1068,0.146532901
1070,0.14963116
1072,0.152729419
1074,0.157362054
1076,0.165771614
1078,0.172056654
1080,0.182679256
1082,0.187046326
1084,0.190675716
1086,0.194806728
1088,0.197373857
1090,0.199350841
1092,0.206196518
1094,0.205458837
1096,0.207524343
1098,0.216760106
1100,0.224520508
1102,0.226526999
1104,0.239215108
