Wavelength,Intensity
1000,9.24527E-08
1001,1.22349E-07
1002,1.04554E-07
1003,7.63557E-08
1004,9.1405E-08
1005,7.03614E-08
1006,8.31054E-08
1007,8.86845E-08
1008,7.28266E-08
1009,9.8163E-08
1010,4.54821E-08
1011,1.16934E-07
1012,1.16655E-07
1013,7.43612E-08
1014,5.08154E-08
1015,9.8665E-08
1016,8.71306E-08
1017,7.31173E-08
1018,1.08847E-07
1019,8.32667E-08
1020,9.23807E-08
1021,1.02345E-07
1022,1.08091E-07
1023,9.63991E-08
1024,1.01785E-07
1025,1.01621E-07
1026,7.39568E-08
1027,7.03514E-08
1028,9.09293E-08
1029,1.02558E-07
1030,9.34119E-08
1031,8.52118E-08
1032,9.45353E-08
1033,9.97416E-08
1034,1.02045E-07
1035,1.08463E-07
1036,1.14029E-07
1037,1.28022E-07
1038,1.25506E-07
1039,1.26862E-07
1040,1.3792E-07
1041,1.64462E-07
1042,1.41174E-07
1043,1.47612E-07
1044,1.50154E-07
1045,1.56025E-07
1046,1.50841E-07
1047,1.28982E-07
1048,1.46768E-07
1049,1.63399E-07
1050,1.70517E-07
1051,1.6154E-07
1052,1.63961E-07
1053,1.77929E-07
1054,1.71262E-07
1055,1.63805E-07
1056,1.5717E-07
1057,1.68855E-07
1058,1.8092E-07
1059,1.52853E-07
1060,1.65254E-07
1061,1.66246E-07
1062,1.77063E-07
1063,1.81334E-07
1064,1.86703E-07
1065,2.01188E-07
1066,2.12251E-07
1067,2.00062E-07
1068,2.08906E-07
1069,2.04468E-07
1070,2.07091E-07
1071,2.19292E-07
1072,2.22445E-07
1073,2.31267E-07
1074,2.31924E-07
1075,2.54506E-07
1076,2.62147E-07
1077,2.65203E-07
1078,2.53388E-07
1079,2.64264E-07
1080,2.94032E-07
1081,2.70453E-07
1082,2.79407E-07
1083,3.07526E-07
1084,2.99659E-07
1085,3.00212E-07
1086,3.06627E-07
1087,2.86481E-07
1088,3.01487E-07
1089,3.00295E-07
1090,3.08112E-07
1091,3.04723E-07
1092,3.1136E-07
1093,3.12506E-07
1094,3.11975E-07
1095,3.06155E-07
1096,3.1739E-07
1097,3.11308E-07
1098,3.04124E-07
1099,3.24805E-07
1100,3.18603E-07
1101,3.35544E-07
1102,3.24478E-07
1103,3.2793E-07
1104,3.43617E-07
1105,3.48108E-07
1106,3.46947E-07
1107,3.66073E-07
1108,3.75829E-07
1109,3.83283E-07
1110,3.85526E-07
1111,3.86407E-07
1112,3.94987E-07
1113,3.96291E-07
1114,3.98348E-07
1115,4.08085E-07
1116,4.03676E-07
1117,3.94644E-07
1118,3.93856E-07
1119,4.00885E-07
1120,4.02492E-07
1121,4.01188E-07
1122,4.0942E-07
1123,4.15761E-07
1124,4.27057E-07
1125,4.27117E-07
1126,4.29445E-07
1127,4.2667E-07
1128,4.27478E-07
1129,4.31161E-07
1130,4.47673E-07
1131,4.49221E-07
1132,4.54025E-07
1133,4.55507E-07
1134,4.53667E-07
1135,4.46879E-07
1136,4.53616E-07
1137,4.62773E-07
1138,4.68067E-07
1139,4.73825E-07
1140,4.81862E-07
1141,4.80701E-07
1142,4.81837E-07
1143,4.77605E-07
1144,4.76728E-07
1145,4.75099E-07
1146,4.72572E-07
1147,4.67426E-07
1148,4.82078E-07
1149,4.83383E-07
1150,4.94254E-07
1151,4.94433E-07
