Wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1000.4,7.85E-08,4.95915E-08,4.04974E-08,6.11812E-08,4.2162E-08,6.30624E-08,5.63143E-08,7.02896E-08,5.04786E-08,6.30361E-08,4.41422E-08,4.51369E-08,4.84819E-08,3.22417E-08,3.72565E-08,3.51597E-08,2.48509E-08,2.34771E-08,5.00341E-08,4.83441E-08,3.56591E-08,5.85942E-08,5.79379E-08,4.69082E-08,2.35116E-08,5.16341E-08,2.84976E-08,3.72769E-08,4.84819E-08,5.14683E-08,2.88846E-08
1001.5,5.52E-08,4.48366E-08,3.66125E-08,3.31434E-08,4.03276E-08,4.1124E-08,4.47905E-08,5.96793E-08,4.33029E-08,2.93165E-08,6.21691E-08,2.97073E-08,5.41235E-08,1.86639E-08,3.75275E-08,5.43253E-08,1.58555E-08,2.97465E-08,3.31027E-08,5.08952E-08,2.44885E-08,4.74302E-08,3.74847E-08,4.44912E-08,4.61602E-08,4.90281E-08,1.738E-08,5.342E-08,2.95703E-08,6.29836E-08,2.29231E-08
1002.6,7.36E-08,2.36129E-08,5.33036E-08,5.14557E-08,4.85018E-08,4.17826E-08,3.46128E-08,6.49981E-08,3.36822E-08,3.28786E-08,4.81098E-08,5.167E-08,6.42205E-08,2.29555E-08,3.98201E-08,6.73623E-08,3.06836E-08,2.04661E-08,3.9483E-08,2.13877E-08,2.3752E-08,4.47387E-08,1.78827E-08,4.44057E-08,1.51289E-08,6.12395E-08,3.54329E-08,3.66878E-08,3.80849E-08,5.48646E-08,3.93569E-08
1003.7,5.78E-08,4.04138E-08,6.09851E-08,7.12557E-08,5.51302E-08,3.59006E-08,5.55688E-08,4.67062E-08,3.88178E-08,5.49461E-08,6.19896E-08,4.71503E-08,4.72988E-08,5.15558E-08,4.03548E-08,6.8246E-08,4.07484E-08,2.5781E-08,3.37343E-08,5.89565E-08,2.78453E-08,5.2314E-08,3.5215E-08,5.098E-08,3.63484E-08,7.52552E-08,2.25214E-08,2.73112E-08,3.51966E-08,5.38484E-08,4.7002E-08
1004.8,7.12E-08,5.77705E-08,3.28221E-08,4.58446E-08,4.14304E-08,2.47893E-08,5.01818E-08,5.27263E-08,4.24255E-08,2.67453E-08,3.40047E-08,5.13199E-08,5.64863E-08,4.36426E-08,3.76174E-08,3.94931E-08,3.51853E-08,3.57433E-08,2.51764E-08,4.59095E-08,3.27104E-08,3.42508E-08,3.8033E-08,3.76569E-08,2.05375E-08,5.16639E-08,2.84712E-08,3.34206E-08,4.4385E-08,6.04615E-08,5.11598E-08
1005.9,7.23E-08,7.47273E-08,3.78389E-08,5.55526E-08,5.40361E-08,4.27571E-08,5.07492E-08,5.95774E-08,3.56712E-08,5.65702E-08,5.33187E-08,5.80841E-08,5.57897E-08,6.36116E-08,4.78954E-08,5.85053E-08,4.47325E-08,3.80662E-08,6.19645E-08,6.92102E-08,4.19986E-08,5.64831E-08,4.44094E-08,3.65239E-08,6.19415E-08,5.97798E-08,3.85403E-08,4.87697E-08,3.20822E-08,4.87297E-08,4.17779E-08
1007,6.97E-08,4.36525E-08,4.67676E-08,5.82209E-08,3.38613E-08,5.28832E-08,6.00324E-08,5.31748E-08,3.87274E-08,4.50625E-08,5.11957E-08,5.70463E-08,6.87964E-08,5.85759E-08,3.46217E-08,4.63487E-08,4.51243E-08,5.25701E-08,3.04771E-08,2.66971E-08,2.87729E-08,3.78138E-08,5.37381E-08,3.35735E-08,4.02922E-08,5.23249E-08,2.48234E-08,3.80413E-08,3.92843E-08,4.86764E-08,2.98078E-08
1008.1,5.16E-08,4.98043E-08,6.02795E-08,4.59123E-08,3.35692E-08,4.04249E-08,5.21983E-08,4.68646E-08,3.64439E-08,2.24115E-08,4.26576E-08,3.7463E-08,5.23086E-08,4.21235E-08,5.22424E-08,4.12407E-08,2.59333E-08,4.33749E-08,2.35754E-08,4.44621E-08,4.57272E-08,4.35953E-08,3.88927E-08,3.00488E-08,3.05587E-08,5.61341E-08,3.86464E-08,4.42396E-08,5.05162E-08,3.64255E-08,2.91397E-08
1009.2,6.11E-08,4.65952E-08,3.0965E-08,7.89918E-08,6.93103E-08,2.86362E-08,5.19398E-08,5.5891E-08,4.18628E-08,3.81141E-08,4.63928E-08,6.01729E-08,4.98355E-08,4.5748E-08,5.58238E-08,4.76145E-08,4.9103E-08,4.97725E-08,4.54675E-08,4.93953E-08,4.67169E-08,4.89988E-08,4.50483E-08,3.58573E-08,5.34351E-08,4.07389E-08,4.12323E-08,4.59289E-08,2.68524E-08,5.18109E-08,4.8335E-08
1010.3,5.33E-08,4.61628E-08,3.12556E-08,4.11175E-08,2.3652E-08,3.20939E-08,3.41607E-08,4.61188E-08,5.58243E-08,2.44619E-08,4.00217E-08,2.95686E-08,4.0972E-08,3.42568E-08,3.69124E-08,4.24799E-08,2.81839E-08,3.0426E-08,3.68529E-08,3.16643E-08,4.05576E-08,5.8867E-08,2.60396E-08,3.81308E-08,1.68427E-08,3.90407E-08,4.59215E-08,2.99141E-08,2.87744E-08,4.65369E-08,4.45728E-08
1011.4,5.51E-08,4.28301E-08,3.35716E-08,5.19632E-08,3.83982E-08,3.80064E-08,4.24384E-08,5.57676E-08,5.41029E-08,4.85851E-08,5.06517E-08,4.7906E-08,4.93799E-08,3.59975E-08,2.7256E-08,4.02042E-08,2.41637E-08,3.93263E-08,3.32572E-08,6.42299E-08,4.46456E-08,3.68608E-08,5.37315E-08,4.08079E-08,2.10126E-08,5.41727E-08,2.2275E-08,4.25619E-08,3.23215E-08,3.87919E-08,5.61228E-08
1012.5,6.13E-08,4.14829E-08,5.22612E-08,6.32002E-08,5.26196E-08,4.83491E-08,6.55355E-08,5.71207E-08,4.1131E-08,5.37461E-08,3.74658E-08,4.70298E-08,5.00986E-08,5.49298E-08,2.95619E-08,5.2156E-08,6.53189E-08,3.86029E-08,3.88539E-08,4.76869E-08,3.74305E-08,4.22476E-08,4.23788E-08,5.18832E-08,4.3856E-08,7.09995E-08,3.60505E-08,3.58603E-08,3.18287E-08,4.96682E-08,4.1242E-08
1013.6,8.21E-08,3.94206E-08,6.21477E-08,4.49284E-08,4.62519E-08,4.99593E-08,5.95514E-08,7.22072E-08,5.78874E-08,4.40638E-08,5.20719E-08,3.47312E-08,3.8488E-08,4.21557E-08,3.30045E-08,4.57434E-08,5.80213E-08,4.04376E-08,4.46199E-08,6.97773E-08,4.48319E-08,3.80613E-08,7.10868E-08,6.90537E-08,4.76361E-08,5.51619E-08,4.96528E-08,4.64483E-08,3.4511E-08,2.95138E-08,4.56459E-08
1014.7,6.07E-08,4.31292E-08,5.77774E-08,7.01439E-08,5.68576E-08,6.56175E-08,5.95379E-08,8.13232E-08,4.35005E-08,4.39092E-08,6.88872E-08,5.44365E-08,5.37711E-08,5.4073E-08,5.8283E-08,6.38314E-08,4.3749E-08,6.55035E-08,4.51664E-08,4.88722E-08,5.8919E-08,4.83619E-08,4.5493E-08,5.28321E-08,4.91381E-08,5.17658E-08,3.26797E-08,4.95003E-08,4.49133E-08,5.00946E-08,6.3809E-08
