,Wavelength,Intensity,Intensity_1416,Intensity_1320,Intensity_1200,Intensity_1655,Intensity_1535
0,1000,9.24527e-08,8.8021985763e-25,1.90304658262e-22,9.16583742816e-08,0.0,3.32230048237e-249
1,1001,1.22349e-07,1.08118701149e-24,2.38200698359e-22,9.32137680746e-08,0.0,2.65100269604e-248
2,1002,1.04554e-07,1.32737609693e-24,2.97943053881e-22,9.47882047162e-08,0.0,2.1071639441e-247
3,1003,7.63557e-08,1.62881095148e-24,3.7240896101e-22,9.63817595955e-08,0.0,1.66841228994e-246
4,1004,9.1405e-08,1.99770282495e-24,4.65161329697e-22,9.79945048866e-08,0.0,1.31590740566e-245
5,1005,7.03614e-08,2.44892002155e-24,5.80608924689e-22,9.96265094726e-08,0.0,1.03386582248e-244
6,1006,8.31054e-08,3.00055668107e-24,7.2420319122e-22,1.01277838868e-07,0.0,8.09133017081e-244
7,1007,8.86845e-08,3.67462125988e-24,9.02679925441e-22,1.02948555143e-07,0.0,6.30801277918e-243
8,1008,7.28266e-08,4.4978694579e-24,1.1243557821e-21,1.04638716847e-07,0.0,4.89871420031e-242
9,1009,9.8163e-08,5.50281135962e-24,1.3994917867e-21,1.06348378932e-07,0.0,3.78955781964e-241
10,1010,4.54821e-08,6.72892857771e-24,1.74073865561e-21,1.08077592674e-07,0.0,2.92019511205e-240
11,1011,1.16934e-07,8.22414440222e-24,2.16368192073e-21,1.09826405602e-07,0.0,2.24156893094e-239
12,1012,1.16655e-07,1.00465985992e-23,2.68750871968e-21,1.11594861419e-07,0.0,1.71399371129e-238
13,1013,7.43612e-08,1.22667888443e-23,3.33582278621e-21,1.13382999924e-07,0.0,1.30551915007e-237
14,1014,5.08154e-08,1.497015315e-23,4.13763982149e-21,1.15190856944e-07,0.0,9.9054489952e-237
15,1015,9.8665e-08,1.82601824358e-23,5.12860224495e-21,1.1701846425e-07,0.0,7.48655435945e-236
16,1016,8.71306e-08,2.22621700684e-23,6.35246054633e-21,1.1886584949e-07,0.0,5.63646345395e-235
17,1017,7.31173e-08,2.71277263064e-23,7.86287837343e-21,1.20733036111e-07,0.0,4.22715629192e-234
18,1018,1.08847e-07,3.30402107806e-23,9.72563042724e-21,1.22620043287e-07,0.0,3.15796136353e-233
19,1019,8.32667e-08,4.02212661966e-23,1.20212766015e-20,1.24526885843e-07,0.0,2.35007767032e-232
20,1020,9.23807e-08,4.89386722787e-23,1.48484130756e-20,1.26453574188e-07,0.0,1.74210575954e-231
21,1021,1.02345e-07,5.9515781672e-23,1.83276218195e-20,1.28400114237e-07,0.0,1.28642275643e-230
22,1022,1.08091e-07,7.23428503659e-23,2.26062648769e-20,1.30366507344e-07,0.0,9.46258531885e-230
23,1023,9.63991e-08,8.7890635718e-23,2.78642996673e-20,1.32352750228e-07,0.0,6.9335044638e-229
24,1024,1.01785e-07,1.06726707146e-22,3.43213273449e-20,1.34358834905e-07,0.0,5.0607244075e-228
25,1025,1.01621e-07,1.29535000129e-22,4.22451291233e-20,1.36384748621e-07,0.0,3.6795056355e-227
26,1026,7.39568e-08,1.57139245857e-22,5.19619967564e-20,1.38430473777e-07,0.0,2.66491372884e-226
27,1027,7.03514e-08,1.90531029585e-22,6.38692246741e-20,1.4049598787e-07,0.0,1.92262122665e-225
28,1028,9.09293e-08,2.30903374083e-22,7.84502044976e-20,1.4258126342e-07,0.0,1.38172370454e-224
29,1029,1.02558e-07,2.79690914531e-22,9.62926500444e-20,1.44686267905e-07,0.0,9.89157801592e-224
30,1030,9.34119e-08,3.3861793269e-22,1.18110585135e-19,1.46810963701e-07,0.0,7.05386022811e-223
31,1031,8.52118e-08,4.09755756945e-22,1.44770850662e-19,1.48955308014e-07,0.0,5.01077631561e-222
32,1032,9.45353e-08,4.95591317433e-22,1.77325035162e-19,1.51119252817e-07,0.0,3.54568441903e-221
33,1033,9.97416e-08,5.99108980049e-22,2.17047908917e-19,1.53302744793e-07,0.0,2.49926345442e-220
34,1034,1.02045e-07,7.23888178706e-22,2.65483650499e-19,1.5550572527e-07,0.0,1.75485361804e-219
35,1035,1.08463e-07,8.74219832945e-22,3.24501402716e-19,1.57728130166e-07,0.0,1.22740149796e-218
36,1036,1.14029e-07,1.05524509045e-21,3.96361989204e-19,1.59969889927e-07,0.0,8.55163782168e-218
37,1037,1.28022e-07,1.27312058637e-21,4.83797971744e-19,1.62230929474e-07,0.0,5.93511101368e-217
38,1038,1.25506e-07,1.53521518105e-21,5.90109641522e-19,1.64511168148e-07,0.0,4.10322460955e-216
39,1039,1.26862e-07,1.85034404566e-21,7.19280026531e-19,1.66810519653e-07,0.0,2.82578185306e-215
40,1040,1.3792e-07,2.22904703502e-21,8.76112575336e-19,1.69128892008e-07,0.0,1.93851367784e-214
41,1041,1.64462e-07,2.6839195474e-21,1.06639586044e-18,1.71466187492e-07,0.0,1.3246953273e-213
42,1042,1.41174e-07,3.23000555484e-21,1.29710045055e-18,1.73822302598e-07,0.0,9.01737303177e-213
43,1043,1.47612e-07,3.88526423342e-21,1.57661405177e-18,1.76197127984e-07,0.0,6.11450021288e-212
44,1044,1.50154e-07,4.67112367585e-21,1.91502213791e-18,1.78590548427e-07,0.0,4.13008309755e-211
45,1045,1.56025e-07,5.61313758148e-21,2.32444260915e-18,1.8100244278e-07,0.0,2.77890379567e-210
46,1046,1.50841e-07,6.74176365276e-21,2.81942456933e-18,1.83432683926e-07,0.0,1.86253795248e-209
47,1047,1.28982e-07,8.09328575374e-21,3.41742313589e-18,1.85881138742e-07,0.0,1.24352249783e-208
48,1048,1.46768e-07,9.71090578884e-21,4.13936433721e-18,1.88347668055e-07,0.0,8.27025803151e-208
49,1049,1.63399e-07,1.16460358363e-20,5.01031666419e-18,1.90832126608e-07,0.0,5.47900086969e-207
50,1050,1.70517e-07,1.39598264324e-20,6.06028878766e-18,1.93334363024e-07,0.0,3.61576815818e-206
51,1051,1.6154e-07,1.67249731827e-20,7.32517640175e-18,1.9585421977e-07,0.0,2.37693157191e-205
52,1052,1.63961e-07,2.00278512264e-20,8.84788518918e-18,1.9839153313e-07,0.0,1.55650198725e-204
53,1053,1.77929e-07,2.39710356779e-20,1.06796616226e-17,2.00946133172e-07,0.0,1.01531213431e-203
54,1054,1.71262e-07,2.86762762205e-20,1.28816688277e-17,2.03517843721e-07,0.0,6.59730208582e-203
55,1055,1.63805e-07,3.42880057725e-20,1.55268511665e-17,2.06106482336e-07,0.0,4.27021814294e-202
56,1056,1.5717e-07,4.09774768566e-20,1.87021386993e-17,2.08711860283e-07,0.0,2.75328170582e-201
